srniel_damage_rank,formula,material_id,parameter,ddde_mev_per_g,ddde_to_p_mev_per_g,dddp_mev_per_g,rf_min_pct,rf_mid_pct,rf_max_pct,grf_min_pct,grf_mid_pct,grf_max_pct,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
3,Hg3Cl2O2,JVASP-12474,Voc,127157000.0,58709900.0,539187000.0,96.5611,96.5611,96.5611,,,,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
3,Hg3Cl2O2,JVASP-12474,Pmax,127157000.0,68687500.0,539187000.0,97.9424,97.9424,97.9424,97.8615,97.8615,97.8615,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
3,Hg3Cl2O2,JVASP-12474,Ipm,127157000.0,127157000.0,539187000.0,99.704,99.704,99.704,99.6217,99.6217,99.6217,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
3,Hg3Cl2O2,JVASP-12474,Vpm,127157000.0,25104900.0,539187000.0,95.3671,95.3671,95.3671,,,,False,8.225,8.225,True,Hg3Cl2O2,Hg3Cl2O2,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_e_Hg3Cl2O2_JVASP-12474.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104000\candidate_niel\NIEL_p_Hg3Cl2O2_JVASP-12474.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/03_Hg3Cl2O2_JVASP-12474.dat
4,PbS,JVASP-17941,Isc,81679600.0,81679600.0,549312000.0,99.808,99.808,99.808,99.7256,99.7256,99.7256,False,8.219,8.219,True,PbS,PbS,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_e_PbS_JVASP-17941.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_p_PbS_JVASP-17941.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/04_PbS_JVASP-17941.dat
4,PbS,JVASP-17941,Voc,81679600.0,37712400.0,549312000.0,96.5955,96.5955,96.5955,,,,False,8.219,8.219,True,PbS,PbS,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_e_PbS_JVASP-17941.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_p_PbS_JVASP-17941.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/04_PbS_JVASP-17941.dat
4,PbS,JVASP-17941,Pmax,81679600.0,44121600.0,549312000.0,97.9878,97.9878,97.9878,97.9068,97.9068,97.9068,False,8.219,8.219,True,PbS,PbS,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_e_PbS_JVASP-17941.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_p_PbS_JVASP-17941.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/04_PbS_JVASP-17941.dat
4,PbS,JVASP-17941,Ipm,81679600.0,81679600.0,549312000.0,99.7196,99.7196,99.7196,99.6373,99.6373,99.6373,False,8.219,8.219,True,PbS,PbS,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_e_PbS_JVASP-17941.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_p_PbS_JVASP-17941.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/04_PbS_JVASP-17941.dat
4,PbS,JVASP-17941,Vpm,81679600.0,16126100.0,549312000.0,95.3627,95.3627,95.3627,,,,False,8.219,8.219,True,PbS,PbS,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_e_PbS_JVASP-17941.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104137\candidate_niel\NIEL_p_PbS_JVASP-17941.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/04_PbS_JVASP-17941.dat
5,Ag2Te,JVASP-108812,Isc,8958280.0,8958280.0,565901000.0,99.8251,99.8251,99.8251,99.7426,99.7426,99.7426,False,7.528,7.528,True,Ag2Te,Ag2Te,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_e_Ag2Te_JVASP-108812.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_p_Ag2Te_JVASP-108812.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/05_Ag2Te_JVASP-108812.dat
