formula,material_id,particle,energy_MeV,niel_MeV_cm2_g,source_file
Ag2Te,JVASP-108812,electron,35.0,8.4404e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,40.0,8.5699e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,45.0,8.6564e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,50.0,8.7119e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,55.0,8.745e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,60.0,8.7619e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,65.0,8.7672e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,70.0,8.7642e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,75.0,8.7555e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,80.0,8.7428e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,85.0,8.7275e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,90.0,8.7106e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,95.0,8.6927e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,electron,100.0,8.6743e-05,Ag2Te_JVASP-108812_e_srniel.csv
Ag2Te,JVASP-108812,proton,0.0001,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00015,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0002,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00025,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0003,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00035,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0004,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00045,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0005,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00055,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0006,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00065,0.0,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0007,0.0056649,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00075,0.046722,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0008,0.083842,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00085,0.11757,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0009,0.14835,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.00095,0.17654,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.001,0.20245,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0015,0.37827,Ag2Te_JVASP-108812_p_srniel.csv
