formula,material_id,particle,status,result_url,omere_dat,raw_curve_csv,elements,stoichiometry,ed_eV,has_fallback_ed,payload_json,error
AsCl5,JVASP-5770,electron,ok,http://www.sr-niel.org/Simulation/614821niel_e.html,omere_inputs/AsCl5_JVASP-5770_e_NIEL.dat,raw_srniel_tables/AsCl5_JVASP-5770_e_srniel.csv,As;Cl,1;5,1.219;0.668,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""2"", ""Stoich1"": ""1"", ""Stoich2"": ""5"", ""TARGET"": ""0"", ""Th1"": ""1.219"", ""Th2"": ""0.668"", ""Z1"": ""33"", ""Z2"": ""17"", ""formSubmit"": ""CALCULATE""}",
AsCl5,JVASP-5770,proton,ok,http://www.sr-niel.org/Simulation/377873niel_p.html,omere_inputs/AsCl5_JVASP-5770_p_NIEL.dat,raw_srniel_tables/AsCl5_JVASP-5770_p_srniel.csv,As;Cl,1;5,1.219;0.668,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""2"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""5"", ""TARGET"": ""0"", ""Th1"": ""1.219"", ""Th2"": ""0.668"", ""Z1"": ""33"", ""Z2"": ""17"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
BaAlSi,JVASP-17183,electron,ok,http://www.sr-niel.org/Simulation/486302niel_e.html,omere_inputs/BaAlSi_JVASP-17183_e_NIEL.dat,raw_srniel_tables/BaAlSi_JVASP-17183_e_srniel.csv,Ba;Al;Si,1;1;1,7.95;4.891;2.351,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""7.95"", ""Th2"": ""4.891"", ""Th3"": ""2.351"", ""Z1"": ""56"", ""Z2"": ""13"", ""Z3"": ""14"", ""formSubmit"": ""CALCULATE""}",
BaAlSi,JVASP-17183,proton,ok,http://www.sr-niel.org/Simulation/684781niel_p.html,omere_inputs/BaAlSi_JVASP-17183_p_NIEL.dat,raw_srniel_tables/BaAlSi_JVASP-17183_p_srniel.csv,Ba;Al;Si,1;1;1,7.95;4.891;2.351,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""7.95"", ""Th2"": ""4.891"", ""Th3"": ""2.351"", ""Z1"": ""56"", ""Z2"": ""13"", ""Z3"": ""14"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
BaH2O4,JVASP-54745,electron,ok,http://www.sr-niel.org/Simulation/135262niel_e.html,omere_inputs/BaH2O4_JVASP-54745_e_NIEL.dat,raw_srniel_tables/BaH2O4_JVASP-54745_e_srniel.csv,Ba;H;O,1;2;4,49.308;1.286;0.599,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""1"", ""Stoich2"": ""2"", ""Stoich3"": ""4"", ""TARGET"": ""0"", ""Th1"": ""49.308"", ""Th2"": ""1.286"", ""Th3"": ""0.599"", ""Z1"": ""56"", ""Z2"": ""1"", ""Z3"": ""8"", ""formSubmit"": ""CALCULATE""}",
BaH2O4,JVASP-54745,proton,ok,http://www.sr-niel.org/Simulation/194555niel_p.html,omere_inputs/BaH2O4_JVASP-54745_p_NIEL.dat,raw_srniel_tables/BaH2O4_JVASP-54745_p_srniel.csv,Ba;H;O,1;2;4,49.308;1.286;0.599,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""2"", ""Stoich3"": ""4"", ""TARGET"": ""0"", ""Th1"": ""49.308"", ""Th2"": ""1.286"", ""Th3"": ""0.599"", ""Z1"": ""56"", ""Z2"": ""1"", ""Z3"": ""8"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
Bi4Te7Pb,JVASP-12475,electron,ok,http://www.sr-niel.org/Simulation/159821niel_e.html,omere_inputs/Bi4Te7Pb_JVASP-12475_e_NIEL.dat,raw_srniel_tables/Bi4Te7Pb_JVASP-12475_e_srniel.csv,Bi;Te;Pb,4;7;1,8;5.5;8,True,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""4"", ""Stoich2"": ""7"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""8"", ""Th2"": ""5.5"", ""Th3"": ""8"", ""Z1"": ""83"", ""Z2"": ""52"", ""Z3"": ""82"", ""formSubmit"": ""CALCULATE""}",
Bi4Te7Pb,JVASP-12475,proton,ok,http://www.sr-niel.org/Simulation/838674niel_p.html,omere_inputs/Bi4Te7Pb_JVASP-12475_p_NIEL.dat,raw_srniel_tables/Bi4Te7Pb_JVASP-12475_p_srniel.csv,Bi;Te;Pb,4;7;1,8;5.5;8,True,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""4"", ""Stoich2"": ""7"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""8"", ""Th2"": ""5.5"", ""Th3"": ""8"", ""Z1"": ""83"", ""Z2"": ""52"", ""Z3"": ""82"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
Ca3PbO,JVASP-17656,electron,ok,http://www.sr-niel.org/Simulation/188248niel_e.html,omere_inputs/Ca3PbO_JVASP-17656_e_NIEL.dat,raw_srniel_tables/Ca3PbO_JVASP-17656_e_srniel.csv,Ca;Pb;O,3;1;1,8;8;28,True,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""8"", ""Th2"": ""8"", ""Th3"": ""28"", ""Z1"": ""20"", ""Z2"": ""82"", ""Z3"": ""8"", ""formSubmit"": ""CALCULATE""}",
Ca3PbO,JVASP-17656,proton,ok,http://www.sr-niel.org/Simulation/712302niel_p.html,omere_inputs/Ca3PbO_JVASP-17656_p_NIEL.dat,raw_srniel_tables/Ca3PbO_JVASP-17656_p_srniel.csv,Ca;Pb;O,3;1;1,8;8;28,True,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""TARGET"": ""0"", ""Th1"": ""8"", ""Th2"": ""8"", ""Th3"": ""28"", ""Z1"": ""20"", ""Z2"": ""82"", ""Z3"": ""8"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
