formula,material_id,particle,omere_dat,elements,stoichiometry,ed_eV,has_fallback_ed
GaAgTeSe,JVASP-109402,electron,omere_inputs/GaAgTeSe_JVASP-109402_e_NIEL.dat,Ga;Ag;Te;Se,1;1;1;1,2.622;1.166;3.638;2.338,False
GaAgTeSe,JVASP-109402,proton,omere_inputs/GaAgTeSe_JVASP-109402_p_NIEL.dat,Ga;Ag;Te;Se,1;1;1;1,2.622;1.166;3.638;2.338,False
HfS3,JVASP-8218,electron,omere_inputs/HfS3_JVASP-8218_e_NIEL.dat,Hf;S,1;3,30;4.039,False
HfS3,JVASP-8218,proton,omere_inputs/HfS3_JVASP-8218_p_NIEL.dat,Hf;S,1;3,30;4.039,False
Hg3Cl2O2,JVASP-12474,electron,omere_inputs/Hg3Cl2O2_JVASP-12474_e_NIEL.dat,Hg;Cl;O,3;2;2,17.776;12.456;2.177,False
Hg3Cl2O2,JVASP-12474,proton,omere_inputs/Hg3Cl2O2_JVASP-12474_p_NIEL.dat,Hg;Cl;O,3;2;2,17.776;12.456;2.177,False
HgSO4,JVASP-9390,electron,omere_inputs/HgSO4_JVASP-9390_e_NIEL.dat,Hg;S;O,1;1;4,27.053;3.01;2.315,False
HgSO4,JVASP-9390,proton,omere_inputs/HgSO4_JVASP-9390_p_NIEL.dat,Hg;S;O,1;1;4,27.053;3.01;2.315,False
HoSO,JVASP-46072,electron,omere_inputs/HoSO_JVASP-46072_e_NIEL.dat,Ho;S;O,1;1;1,9;7.6;28,True
HoSO,JVASP-46072,proton,omere_inputs/HoSO_JVASP-46072_p_NIEL.dat,Ho;S;O,1;1;1,9;7.6;28,True
InAgS2,JVASP-12383,electron,omere_inputs/InAgS2_JVASP-12383_e_NIEL.dat,In;Ag;S,1;1;2,39.49;2.877;9.262,False
InAgS2,JVASP-12383,proton,omere_inputs/InAgS2_JVASP-12383_p_NIEL.dat,In;Ag;S,1;1;2,39.49;2.877;9.262,False
InN,JVASP-17841,electron,omere_inputs/InN_JVASP-17841_e_NIEL.dat,In;N,1;1,60.643;52.307,False
InN,JVASP-17841,proton,omere_inputs/InN_JVASP-17841_p_NIEL.dat,In;N,1;1,60.643;52.307,False
InS,JVASP-51076,electron,omere_inputs/InS_JVASP-51076_e_NIEL.dat,In;S,1;1,11.529;3.526,False
InS,JVASP-51076,proton,omere_inputs/InS_JVASP-51076_p_NIEL.dat,In;S,1;1,11.529;3.526,False
KNO3,JVASP-53146,electron,omere_inputs/KNO3_JVASP-53146_e_NIEL.dat,K;N;O,1;1;3,3.45;3.834;3.342,False
KNO3,JVASP-53146,proton,omere_inputs/KNO3_JVASP-53146_p_NIEL.dat,K;N;O,1;1;3,3.45;3.834;3.342,False
KP,JVASP-10123,electron,omere_inputs/KP_JVASP-10123_e_NIEL.dat,K;P,1;1,12.274;12.243,False
KP,JVASP-10123,proton,omere_inputs/KP_JVASP-10123_p_NIEL.dat,K;P,1;1,12.274;12.243,False
Li3VB2O6,JVASP-40731,electron,omere_inputs/Li3VB2O6_JVASP-40731_e_NIEL.dat,Li;V;B;O,3;1;2;6,12;28;22;28,True
Li3VB2O6,JVASP-40731,proton,omere_inputs/Li3VB2O6_JVASP-40731_p_NIEL.dat,Li;V;B;O,3;1;2;6,12;28;22;28,True
Mg2Mo3O8,JVASP-19255,electron,omere_inputs/Mg2Mo3O8_JVASP-19255_e_NIEL.dat,Mg;Mo;O,2;3;8,10;33;28,True
Mg2Mo3O8,JVASP-19255,proton,omere_inputs/Mg2Mo3O8_JVASP-19255_p_NIEL.dat,Mg;Mo;O,2;3;8,10;33;28,True
MgCu2O4,JVASP-9884,electron,omere_inputs/MgCu2O4_JVASP-9884_e_NIEL.dat,Mg;Cu;O,1;2;4,6.26;3.435;3.802,False
MgCu2O4,JVASP-9884,proton,omere_inputs/MgCu2O4_JVASP-9884_p_NIEL.dat,Mg;Cu;O,1;2;4,6.26;3.435;3.802,False
MgCu2O4,JVASP-9908,electron,omere_inputs/MgCu2O4_JVASP-9908_e_NIEL.dat,Mg;Cu;O,1;2;4,15.298;8.614;4.661,False
MgCu2O4,JVASP-9908,proton,omere_inputs/MgCu2O4_JVASP-9908_p_NIEL.dat,Mg;Cu;O,1;2;4,15.298;8.614;4.661,False
MoH2O4,JVASP-54713,electron,omere_inputs/MoH2O4_JVASP-54713_e_NIEL.dat,Mo;H;O,1;2;4,2.272;1.679;6.718,False
MoH2O4,JVASP-54713,proton,omere_inputs/MoH2O4_JVASP-54713_p_NIEL.dat,Mo;H;O,1;2;4,2.272;1.679;6.718,False
MoWSe2S2,JVASP-28698,electron,omere_inputs/MoWSe2S2_JVASP-28698_e_NIEL.dat,Mo;W;Se;S,1;1;2;2,33;55;7.4;7.6,True
MoWSe2S2,JVASP-28698,proton,omere_inputs/MoWSe2S2_JVASP-28698_p_NIEL.dat,Mo;W;Se;S,1;1;2;2,33;55;7.4;7.6,True
Na2GaNiF7,JVASP-57312,electron,omere_inputs/Na2GaNiF7_JVASP-57312_e_NIEL.dat,Na;Ga;Ni;F,2;1;1;7,8;9.4;23;15,True
Na2GaNiF7,JVASP-57312,proton,omere_inputs/Na2GaNiF7_JVASP-57312_p_NIEL.dat,Na;Ga;Ni;F,2;1;1;7,8;9.4;23;15,True
Na2WO4,JVASP-11669,electron,omere_inputs/Na2WO4_JVASP-11669_e_NIEL.dat,Na;W;O,2;1;4,27.677;19.987;7.052,False
Na2WO4,JVASP-11669,proton,omere_inputs/Na2WO4_JVASP-11669_p_NIEL.dat,Na;W;O,2;1;4,27.677;19.987;7.052,False
Na3VS3O,JVASP-12252,electron,omere_inputs/Na3VS3O_JVASP-12252_e_NIEL.dat,Na;V;S;O,3;1;3;1,5.67;2.908;5.331;5.272,False
Na3VS3O,JVASP-12252,proton,omere_inputs/Na3VS3O_JVASP-12252_p_NIEL.dat,Na;V;S;O,3;1;3;1,5.67;2.908;5.331;5.272,False
NaS,JVASP-9152,electron,omere_inputs/NaS_JVASP-9152_e_NIEL.dat,Na;S,1;1,2.013;0.802,False
NaS,JVASP-9152,proton,omere_inputs/NaS_JVASP-9152_p_NIEL.dat,Na;S,1;1,2.013;0.802,False
NbBi3O7,JVASP-13254,electron,omere_inputs/NbBi3O7_JVASP-13254_e_NIEL.dat,Nb;Bi;O,1;3;7,1.558;57.752;0.691,False
NbBi3O7,JVASP-13254,proton,omere_inputs/NbBi3O7_JVASP-13254_p_NIEL.dat,Nb;Bi;O,1;3;7,1.558;57.752;0.691,False
NbS2,JVASP-574,electron,omere_inputs/NbS2_JVASP-574_e_NIEL.dat,Nb;S,1;2,28;7.6,True
NbS2,JVASP-574,proton,omere_inputs/NbS2_JVASP-574_p_NIEL.dat,Nb;S,1;2,28;7.6,True
P2Se5,JVASP-5590,electron,omere_inputs/P2Se5_JVASP-5590_e_NIEL.dat,P;Se,2;5,8.7;7.4,False
P2Se5,JVASP-5590,proton,omere_inputs/P2Se5_JVASP-5590_p_NIEL.dat,P;Se,2;5,8.7;7.4,False
PbS,JVASP-17941,electron,omere_inputs/PbS_JVASP-17941_e_NIEL.dat,Pb;S,1;1,12.507;7.6,False
PbS,JVASP-17941,proton,omere_inputs/PbS_JVASP-17941_p_NIEL.dat,Pb;S,1;1,12.507;7.6,False
PtI2,JVASP-12896,electron,omere_inputs/PtI2_JVASP-12896_e_NIEL.dat,Pt;I,1;2,6.913;10.106,False
PtI2,JVASP-12896,proton,omere_inputs/PtI2_JVASP-12896_p_NIEL.dat,Pt;I,1;2,6.913;10.106,False
Rb2As3,JVASP-11390,electron,omere_inputs/Rb2As3_JVASP-11390_e_NIEL.dat,Rb;As,2;3,3.146;5.88,False
Rb2As3,JVASP-11390,proton,omere_inputs/Rb2As3_JVASP-11390_p_NIEL.dat,Rb;As,2;3,3.146;5.88,False
Rb4CuSi2O7,JVASP-25574,electron,omere_inputs/Rb4CuSi2O7_JVASP-25574_e_NIEL.dat,Rb;Cu;Si;O,4;1;2;7,5.5;19;20.5;28,True
Rb4CuSi2O7,JVASP-25574,proton,omere_inputs/Rb4CuSi2O7_JVASP-25574_p_NIEL.dat,Rb;Cu;Si;O,4;1;2;7,5.5;19;20.5;28,True
SCl2,JVASP-58833,electron,omere_inputs/SCl2_JVASP-58833_e_NIEL.dat,S;Cl,1;2,6.36;4.261,False
SCl2,JVASP-58833,proton,omere_inputs/SCl2_JVASP-58833_p_NIEL.dat,S;Cl,1;2,6.36;4.261,False
SbIrS,JVASP-10264,electron,omere_inputs/SbIrS_JVASP-10264_e_NIEL.dat,Sb;Ir;S,1;1;1,47.815;122.53;24.467,False
SbIrS,JVASP-10264,proton,omere_inputs/SbIrS_JVASP-10264_p_NIEL.dat,Sb;Ir;S,1;1;1,47.815;122.53;24.467,False
ScMo3O8,JVASP-12703,electron,omere_inputs/ScMo3O8_JVASP-12703_e_NIEL.dat,Sc;Mo;O,1;3;8,7.235;7.526;8.658,False
ScMo3O8,JVASP-12703,proton,omere_inputs/ScMo3O8_JVASP-12703_p_NIEL.dat,Sc;Mo;O,1;3;8,7.235;7.526;8.658,False
ScS,JVASP-19725,electron,omere_inputs/ScS_JVASP-19725_e_NIEL.dat,Sc;S,1;1,46.408;48.251,False
ScS,JVASP-19725,proton,omere_inputs/ScS_JVASP-19725_p_NIEL.dat,Sc;S,1;1,46.408;48.251,False
ScVO4,JVASP-11823,electron,omere_inputs/ScVO4_JVASP-11823_e_NIEL.dat,Sc;V;O,1;1;4,25;28;28,True
ScVO4,JVASP-11823,proton,omere_inputs/ScVO4_JVASP-11823_p_NIEL.dat,Sc;V;O,1;1;4,25;28;28,True
Si,JVASP-25415,electron,omere_inputs/Si_JVASP-25415_e_NIEL.dat,Si,1,4.733,False
Si,JVASP-25415,proton,omere_inputs/Si_JVASP-25415_p_NIEL.dat,Si,1,4.733,False
SrTaNO2,JVASP-109687,electron,omere_inputs/SrTaNO2_JVASP-109687_e_NIEL.dat,Sr;Ta;N;O,1;1;1;2,7;0.56;22;28,False
SrTaNO2,JVASP-109687,proton,omere_inputs/SrTaNO2_JVASP-109687_p_NIEL.dat,Sr;Ta;N;O,1;1;1;2,7;0.56;22;28,False
SrZrS3,JVASP-21271,electron,omere_inputs/SrZrS3_JVASP-21271_e_NIEL.dat,Sr;Zr;S,1;1;3,19.813;20.172;21.908,False
SrZrS3,JVASP-21271,proton,omere_inputs/SrZrS3_JVASP-21271_p_NIEL.dat,Sr;Zr;S,1;1;3,19.813;20.172;21.908,False
Ta2Te4Br10O,JVASP-31871,electron,omere_inputs/Ta2Te4Br10O_JVASP-31871_e_NIEL.dat,Ta;Te;Br;O,2;4;10;1,11.673;9.079;7.234;7.082,False
Ta2Te4Br10O,JVASP-31871,proton,omere_inputs/Ta2Te4Br10O_JVASP-31871_p_NIEL.dat,Ta;Te;Br;O,2;4;10;1,11.673;9.079;7.234;7.082,False
Te2Mo3WS6,JVASP-28699,electron,omere_inputs/Te2Mo3WS6_JVASP-28699_e_NIEL.dat,Te;Mo;W;S,2;3;1;6,5.5;33;55;7.6,True
Te2Mo3WS6,JVASP-28699,proton,omere_inputs/Te2Mo3WS6_JVASP-28699_p_NIEL.dat,Te;Mo;W;S,2;3;1;6,5.5;33;55;7.6,True
TeMoWSe3,JVASP-28952,electron,omere_inputs/TeMoWSe3_JVASP-28952_e_NIEL.dat,Te;Mo;W;Se,1;1;1;3,5.5;33;55;7.4,True
TeMoWSe3,JVASP-28952,proton,omere_inputs/TeMoWSe3_JVASP-28952_p_NIEL.dat,Te;Mo;W;Se,1;1;1;3,5.5;33;55;7.4,True
VRhO4,JVASP-42957,electron,omere_inputs/VRhO4_JVASP-42957_e_NIEL.dat,V;Rh;O,1;1;4,28;25;28,True
VRhO4,JVASP-42957,proton,omere_inputs/VRhO4_JVASP-42957_p_NIEL.dat,V;Rh;O,1;1;4,28;25;28,True
ZnBi2O5,JVASP-9800,electron,omere_inputs/ZnBi2O5_JVASP-9800_e_NIEL.dat,Zn;Bi;O,1;2;5,10;8;28,False
ZnBi2O5,JVASP-9800,proton,omere_inputs/ZnBi2O5_JVASP-9800_p_NIEL.dat,Zn;Bi;O,1;2;5,10;8;28,False
ZnGeN2,JVASP-9374,electron,omere_inputs/ZnGeN2_JVASP-9374_e_NIEL.dat,Zn;Ge;N,1;1;2,0.591;14.5;22,False
ZnGeN2,JVASP-9374,proton,omere_inputs/ZnGeN2_JVASP-9374_p_NIEL.dat,Zn;Ge;N,1;1;2,0.591;14.5;22,False
ZnO,JVASP-17188,electron,omere_inputs/ZnO_JVASP-17188_e_NIEL.dat,Zn;O,1;1,10;28,True
ZnO,JVASP-17188,proton,omere_inputs/ZnO_JVASP-17188_p_NIEL.dat,Zn;O,1;1,10;28,True
ZnS,JVASP-10591,electron,omere_inputs/ZnS_JVASP-10591_e_NIEL.dat,Zn;S,1;1,4.311;24.075,False
ZnS,JVASP-10591,proton,omere_inputs/ZnS_JVASP-10591_p_NIEL.dat,Zn;S,1;1,4.311;24.075,False
