formula,material_id,element,recommended_ed_eV,aggregation_mode,weighted_mean_ed_eV,minimum_ed_eV,maximum_ed_eV,inequivalent_site_count,structure_source,ed_mode,status,error
CuAs2Pb6Cl7O6,JVASP-53178,O,4.314,min,4.314,4.314,4.314,1,jarvis_relaxed_input+idealized,static,ok,
Ga3BN4,JVASP-35152,Ga,10.808,min,10.808,10.808,10.808,1,jarvis_relaxed_input+idealized,static,ok,
Ga3BN4,JVASP-35152,B,8.338,min,8.338,8.338,8.338,1,jarvis_relaxed_input+idealized,static,ok,
Ga3BN4,JVASP-35152,N,8.691,min,8.691,8.691,8.691,1,jarvis_relaxed_input+idealized,static,ok,
GaAgP2Se6,JVASP-27498,Ga,5.442,min,5.442,5.442,5.442,1,jarvis_relaxed_input+idealized,static,ok,
GaAgP2Se6,JVASP-27498,Ag,1.858,min,1.858,1.858,1.858,1,jarvis_relaxed_input+idealized,static,ok,
GaAgP2Se6,JVASP-27498,P,2.469,min,2.469,2.469,2.469,1,jarvis_relaxed_input+idealized,static,ok,
GaAgP2Se6,JVASP-27498,Se,2.533,min,2.533,2.533,2.533,1,jarvis_relaxed_input+idealized,static,ok,
GaAgTeSe,JVASP-109402,Ga,2.622,min,2.622,2.622,2.622,1,jarvis_relaxed_input+idealized,static,ok,
GaAgTeSe,JVASP-109402,Ag,1.166,min,1.166,1.166,1.166,1,jarvis_relaxed_input+idealized,static,ok,
GaAgTeSe,JVASP-109402,Te,3.638,min,3.638,3.638,3.638,1,jarvis_relaxed_input+idealized,static,ok,
GaAgTeSe,JVASP-109402,Se,2.338,min,2.338,2.338,2.338,1,jarvis_relaxed_input+idealized,static,ok,
HfS3,JVASP-8218,Hf,30.0,min,30.0,30.0,30.0,1,jarvis_relaxed_input+idealized,static,ok,
HfS3,JVASP-8218,S,4.039,min,4.039,4.039,4.039,1,jarvis_relaxed_input+idealized,static,ok,
Hg3Cl2O2,JVASP-12474,Hg,17.776,min,17.776,17.776,17.776,1,jarvis_relaxed_input+idealized,static,ok,
Hg3Cl2O2,JVASP-12474,Cl,12.456,min,12.456,12.456,12.456,1,jarvis_relaxed_input+idealized,static,ok,
Hg3Cl2O2,JVASP-12474,O,2.177,min,2.177,2.177,2.177,1,jarvis_relaxed_input+idealized,static,ok,
HgSO4,JVASP-9390,Hg,27.053,min,27.053,27.053,27.053,1,jarvis_relaxed_input+idealized,static,ok,
