srniel_damage_rank,formula,material_id,has_fallback_ed,density_g_cm3,density_source,cell_json,mission_json,electron_niel,proton_niel,cell_template,degradation_coefficients,sadc_status
11,CuAs2Pb6Cl7O6,JVASP-53178,False,6.141,JARVIS-DFT density field,sadc_input_bundles/11_CuAs2Pb6Cl7O6_JVASP-53178/Cell.json,sadc_input_bundles/11_CuAs2Pb6Cl7O6_JVASP-53178/Mission.json,sadc_input_bundles/11_CuAs2Pb6Cl7O6_JVASP-53178/niel/electron_NIEL.dat,sadc_input_bundles/11_CuAs2Pb6Cl7O6_JVASP-53178/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
12,Ta2Te4Br10O,JVASP-31871,False,5.238,JARVIS-DFT density field,sadc_input_bundles/12_Ta2Te4Br10O_JVASP-31871/Cell.json,sadc_input_bundles/12_Ta2Te4Br10O_JVASP-31871/Mission.json,sadc_input_bundles/12_Ta2Te4Br10O_JVASP-31871/niel/electron_NIEL.dat,sadc_input_bundles/12_Ta2Te4Br10O_JVASP-31871/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
13,Cd2GaAgSe4,JVASP-108799,False,5.335,JARVIS-DFT density field,sadc_input_bundles/13_Cd2GaAgSe4_JVASP-108799/Cell.json,sadc_input_bundles/13_Cd2GaAgSe4_JVASP-108799/Mission.json,sadc_input_bundles/13_Cd2GaAgSe4_JVASP-108799/niel/electron_NIEL.dat,sadc_input_bundles/13_Cd2GaAgSe4_JVASP-108799/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
14,Na2WO4,JVASP-11669,False,5.092,JARVIS-DFT density field,sadc_input_bundles/14_Na2WO4_JVASP-11669/Cell.json,sadc_input_bundles/14_Na2WO4_JVASP-11669/Mission.json,sadc_input_bundles/14_Na2WO4_JVASP-11669/niel/electron_NIEL.dat,sadc_input_bundles/14_Na2WO4_JVASP-11669/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
15,AlInSb2,JVASP-109795,False,4.846,JARVIS-DFT density field,sadc_input_bundles/15_AlInSb2_JVASP-109795/Cell.json,sadc_input_bundles/15_AlInSb2_JVASP-109795/Mission.json,sadc_input_bundles/15_AlInSb2_JVASP-109795/niel/electron_NIEL.dat,sadc_input_bundles/15_AlInSb2_JVASP-109795/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
16,SrTaNO2,JVASP-109687,False,7.809,JARVIS-DFT density field,sadc_input_bundles/16_SrTaNO2_JVASP-109687/Cell.json,sadc_input_bundles/16_SrTaNO2_JVASP-109687/Mission.json,sadc_input_bundles/16_SrTaNO2_JVASP-109687/niel/electron_NIEL.dat,sadc_input_bundles/16_SrTaNO2_JVASP-109687/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
17,HfS3,JVASP-8218,False,5.523,JARVIS-DFT density field,sadc_input_bundles/17_HfS3_JVASP-8218/Cell.json,sadc_input_bundles/17_HfS3_JVASP-8218/Mission.json,sadc_input_bundles/17_HfS3_JVASP-8218/niel/electron_NIEL.dat,sadc_input_bundles/17_HfS3_JVASP-8218/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
18,HgSO4,JVASP-9390,False,6.271,JARVIS-DFT density field,sadc_input_bundles/18_HgSO4_JVASP-9390/Cell.json,sadc_input_bundles/18_HgSO4_JVASP-9390/Mission.json,sadc_input_bundles/18_HgSO4_JVASP-9390/niel/electron_NIEL.dat,sadc_input_bundles/18_HgSO4_JVASP-9390/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
19,InAgS2,JVASP-12383,False,4.775,JARVIS-DFT density field,sadc_input_bundles/19_InAgS2_JVASP-12383/Cell.json,sadc_input_bundles/19_InAgS2_JVASP-12383/Mission.json,sadc_input_bundles/19_InAgS2_JVASP-12383/niel/electron_NIEL.dat,sadc_input_bundles/19_InAgS2_JVASP-12383/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
20,InS,JVASP-51076,False,5.013,JARVIS-DFT density field,sadc_input_bundles/20_InS_JVASP-51076/Cell.json,sadc_input_bundles/20_InS_JVASP-51076/Mission.json,sadc_input_bundles/20_InS_JVASP-51076/niel/electron_NIEL.dat,sadc_input_bundles/20_InS_JVASP-51076/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
